Defect_ID,Section_ID,Station1,Station2,Chainage_KM,Zone,Division,Asset_Type,Defect_Type,Severity_Level,Detection_Method,Power_Supply_Type,Interlocking_Type,Communication_Link_Status,Reported_Date,Date_to_Start_work,Date_to_End_work,Work_Due_Date,Work_Overall_Duration,Work_Duration_Per_Day,Overdue_Days,Asset_Age_Years,Last_Maintenance_Date,Maintenance_Frequency_Days,Historical_Failure_Count,Section_Traffic_Density,Corridor_Criticality,Available_Block_Window_Hours,Overlapping_TRD_Request,Overlapping_Engineering_Request,Joint_Block_Feasibility_Score,Task_Urgency_Tier,Planning_Horizon,Recommended_Block_Duration_Hours,Block_Conflict_Type,Joint_Block_Recommendation,Priority_Score,Predicted_Resolution_Time_Hours,Risk_If_Delayed,Confidence_Score
SMMS01323,DDD-OHN,DDD,OHN,31.62,Central Railway,Solapur,Point Machine,Switch Blade Misalignment,Low,Signal Failure Alarm,AC (25kV Signalling),EI,Normal,21-07-2025,04-09-2026,05-09-2026,10-09-2026,4.0,3.4,90,18.0,23-01-2026,15,0,1,Trunk,16.67,False,False,18.9,This Month,Monthly,3.4,Same_Division_Overlap,No,54.8,4.0,55.2,0.83
SMMS01324,CPV-GCS,CPV,GCS,1.5,Northern Railway,Ferozpur,Level Crossing Interlocking,Approach Detection Fault,Low,Preventive Test,DC,PI,Normal,03-11-2025,08-09-2026,09-09-2026,14-09-2026,7.2,5.7,90,9.1,10-02-2026,90,1,2,Trunk,10.97,False,False,33.9,This Month,Monthly,5.7,No_Overlap,No,45.0,7.2,48.6,0.58
SMMS01325,CKOPH-OK,CKOPH,OK,80.24,South Central Railway,Nanded,Signal Cable/Data Logger,Cable Insulation Fault,Medium,Signal Failure Alarm,AC (25kV Signalling),EI,Degraded,27-06-2026,13-09-2026,13-09-2026,16-09-2026,5.1,6.3,46,11.8,12-04-2026,90,4,23,Trunk,16.67,True,True,79.3,This Week,Weekly,6.3,Same_Division_Overlap,Yes,56.8,5.1,49.7,0.74
SMMS01326,KSOI-TQ,KSOI,TQ,110.46,Northern Railway,Moradabad,Signal Cable/Data Logger,Data Logger Fault,High,Datalogger Analysis,IPS (Integrated Power Supply),EI,Degraded,21-05-2026,11-09-2026,12-09-2026,14-09-2026,6.8,5.4,30,10.6,15-09-2025,30,0,11,Trunk,9.07,False,True,51.8,This Month,Monthly,5.4,Same_Division_Overlap,No,52.0,6.8,49.7,0.8
SMMS01327,SFQNK-PAE,SFQNK,PAE,107.12,Central Railway,Bhusawal,Signal Cable/Data Logger,Cable Insulation Fault,Medium,Datalogger Analysis,IPS (Integrated Power Supply),SSI,Normal,10-09-2025,08-09-2026,09-09-2026,12-09-2026,4.7,4.4,60,3.8,31-12-2025,90,2,12,Trunk,16.87,False,False,34.4,This Month,Monthly,4.4,No_Overlap,No,44.9,4.7,41.9,0.74
SMMS01328,OA-CB,OA,CB,23.19,South Central Railway,Secunderabad,Point Machine,Locking Fault,Low,Datalogger Analysis,IPS (Integrated Power Supply),PI,Normal,24-02-2026,03-09-2026,03-09-2026,08-09-2026,1.2,1.3,90,22.5,10-08-2026,180,0,11,Trunk,6.47,False,True,48.8,This Month,Monthly,1.3,No_Overlap,No,50.7,1.2,55.0,0.61
SMMS01329,PYF-GV,PYF,GV,10.51,Western Railway,Mumbai Central,Track Circuit,Low Voltage/Shunt Fault,High,Signal Failure Alarm,AC (25kV Signalling),PI,Down,13-01-2026,16-09-2026,17-09-2026,19-09-2026,7.0,6.3,30,3.0,18-11-2025,15,0,12,Branch,12.04,False,False,29.2,This Month,Monthly,6.3,No_Overlap,No,48.6,7.0,51.7,0.69
SMMS01330,KO-WATR,KO,WATR,6.56,Northern Railway,Ambala,Axle Counter,Axle Counter Malfunction,Low,Signal Failure Alarm,IPS (Integrated Power Supply),EI,Normal,14-08-2026,07-09-2026,07-09-2026,12-09-2026,3.8,3.8,0,7.4,17-05-2026,30,2,5,Trunk,6.53,False,False,20.3,Programmed,Monthly,3.8,No_Overlap,No,18.9,3.8,23.3,0.99
SMMS01331,CA-DU,CA,DU,68.75,Eastern Railway,Sealdah,Block Instrument,Communication Loss,High,Datalogger Analysis,AC (25kV Signalling),RRI,Degraded,29-08-2025,13-09-2026,14-09-2026,16-09-2026,10.1,8.7,30,22.7,07-06-2026,90,3,24,Trunk,17.05,False,True,59.9,This Week,Weekly,8.7,No_Overlap,Yes,67.0,10.1,62.0,0.71
SMMS01332,MSRZC-SUCEN,MSRZC,SUCEN,62.7,Western Railway,Ratlam,Electronic Interlocking,EI Card Failure,Critical,Visual Inspection,DC,RRI,Normal,15-02-2026,15-09-2026,15-09-2026,16-09-2026,5.5,7.1,10,9.2,28-02-2026,30,0,17,Branch,11.9,False,False,46.9,Immediate,Weekly,7.1,No_Overlap,No,56.3,5.5,49.7,0.76
SMMS01333,AB-STKP,AB,STKP,31.35,Western Railway,Rajkot,Point Machine,Switch Blade Misalignment,Low,Datalogger Analysis,AC (25kV Signalling),RRI,Down,02-02-2026,13-09-2026,14-09-2026,19-09-2026,6.3,5.2,90,13.7,30-10-2025,30,5,7,Trunk,15.47,False,False,36.1,This Week,Weekly,5.2,No_Overlap,No,58.5,6.3,53.8,0.88
SMMS01334,MI-WNYN,MI,WNYN,85.86,South Central Railway,Guntur,Point Machine,Point Machine Failure,High,Visual Inspection,AC (25kV Signalling),PI,Normal,26-11-2025,14-09-2026,14-09-2026,16-09-2026,6.5,6.9,30,10.1,11-10-2025,90,1,8,Trunk,6.76,False,False,37.7,This Month,Monthly,6.9,No_Overlap,No,52.8,6.5,53.0,0.59
SMMS01335,SK-MFZ,SK,MFZ,38.95,Western Railway,Rajkot,Electronic Interlocking,Software/Data Fault,High,Signal Failure Alarm,AC (25kV Signalling),EI,Normal,06-07-2026,08-09-2026,08-09-2026,10-09-2026,4.7,4.9,30,11.8,22-09-2025,15,4,1,Trunk,1.95,False,False,29.9,This Month,Monthly,4.9,No_Overlap,No,54.5,4.7,61.4,0.85
SMMS01336,HYYJ-RXGSO,HYYJ,RXGSO,59.0,Central Railway,Bhusawal,Track Circuit,Track Circuit Failure,Medium,Preventive Test,DC,PI,Normal,09-03-2026,16-09-2026,16-09-2026,19-09-2026,3.8,4.5,60,20.1,01-09-2025,30,2,17,Trunk,13.81,True,False,57.2,This Week,Weekly,4.5,Cross_Division_Overlap,Yes,57.0,3.8,50.9,0.66
SMMS01337,CUZY-DTA,CUZY,DTA,39.15,Central Railway,Bhusawal,Level Crossing Interlocking,LC Gate Interlocking Fault,Medium,Signal Failure Alarm,IPS (Integrated Power Supply),SSI,Normal,09-03-2026,07-09-2026,08-09-2026,11-09-2026,3.0,2.4,60,1.4,29-06-2026,30,2,7,Trunk,13.5,False,False,35.8,This Month,Monthly,2.4,No_Overlap,No,48.1,3.0,43.8,0.82
SMMS01338,TO-GQ,TO,GQ,35.05,South Eastern Railway,Adra,Signal Cable/Data Logger,Data Logger Fault,Low,Visual Inspection,DC,RRI,Normal,28-08-2025,10-09-2026,11-09-2026,16-09-2026,5.3,4.2,90,23.5,04-02-2026,30,2,10,Trunk,2.71,False,False,34.0,This Week,Weekly,4.2,No_Overlap,No,57.4,5.3,62.7,0.77
SMMS01339,BP-WQ,BP,WQ,39.35,Western Railway,Ratlam,Signal Cable/Data Logger,Cable Insulation Fault,High,Signal Failure Alarm,AC (25kV Signalling),PI,Normal,15-08-2025,03-09-2026,04-09-2026,06-09-2026,5.1,4.9,30,17.0,11-03-2026,90,2,3,Branch,9.14,True,True,95.2,This Month,Monthly,4.9,No_Overlap,Yes,50.7,5.1,38.5,0.73
SMMS01340,AXA-DJ,AXA,DJ,99.89,South Central Railway,Secunderabad,Level Crossing Interlocking,Approach Detection Fault,Low,Signal Failure Alarm,AC (25kV Signalling),RRI,Normal,18-10-2025,06-09-2026,07-09-2026,12-09-2026,3.7,3.2,90,9.9,16-05-2026,15,0,24,Trunk,16.8,False,False,33.4,This Month,Monthly,3.2,No_Overlap,No,53.9,3.7,50.3,0.76
SMMS01341,BXF-BKS,BXF,BKS,62.26,Central Railway,Nagpur,Block Instrument,Block Instrument Failure,Critical,Datalogger Analysis,DC,EI,Down,09-07-2026,07-09-2026,07-09-2026,08-09-2026,5.4,6.5,10,21.6,14-04-2026,15,2,5,Trunk,3.57,False,False,40.9,Immediate,Weekly,6.5,Cross_Division_Overlap,No,64.8,5.4,64.7,0.9
SMMS01342,CUZY-DTA,CUZY,DTA,109.23,Central Railway,Bhusawal,Relay Interlocking,Interlocking Logic Fault,Low,Signal Failure Alarm,IPS (Integrated Power Supply),EI,Degraded,07-06-2026,16-09-2026,17-09-2026,22-09-2026,4.2,4.0,42,24.2,12-08-2025,15,3,19,Branch,18.94,False,True,56.4,This Month,Monthly,4.0,Same_Division_Overlap,Yes,46.1,4.2,42.7,0.81
SMMS01343,MTTS-NOWXU,MTTS,NOWXU,89.4,Northern Railway,Ambala,Signal Cable/Data Logger,Power Supply Fault,Medium,Datalogger Analysis,IPS (Integrated Power Supply),PI,Normal,01-02-2026,08-09-2026,09-09-2026,12-09-2026,8.8,7.4,60,2.5,18-02-2026,30,0,5,Trunk,12.72,True,False,56.4,This Month,Monthly,7.4,Cross_Division_Overlap,Yes,46.9,8.8,46.7,0.68
SMMS01344,DNLOW-BSOUF,DNLOW,BSOUF,73.76,Eastern Railway,Malda,Point Machine,Point Machine Failure,Medium,Signal Failure Alarm,DC,SSI,Degraded,04-05-2026,08-09-2026,09-09-2026,12-09-2026,5.8,5.7,60,24.9,24-10-2025,15,1,8,Trunk,16.46,False,False,31.5,This Week,Weekly,5.7,No_Overlap,No,59.8,5.8,58.9,0.69
SMMS01345,KYDMB-GKUDU,KYDMB,GKUDU,88.59,South Eastern Railway,Chakradharpur,Axle Counter,Axle Counter Malfunction,High,Visual Inspection,IPS (Integrated Power Supply),SSI,Degraded,17-02-2026,15-09-2026,15-09-2026,17-09-2026,5.6,6.0,30,6.0,29-06-2026,90,0,18,Trunk,16.7,False,True,58.2,This Month,Monthly,6.0,No_Overlap,Yes,51.7,5.6,54.8,0.59
SMMS01346,KIYSO-HCLRU,KIYSO,HCLRU,58.39,Southern Railway,Madurai,Axle Counter,Wheel Sensor Fault,Low,Datalogger Analysis,AC (25kV Signalling),RRI,Normal,08-07-2026,16-09-2026,17-09-2026,22-09-2026,8.2,7.1,11,12.6,29-04-2026,15,1,15,Branch,18.23,False,False,17.0,Programmed,Monthly,7.1,Same_Division_Overlap,No,26.8,8.2,21.3,0.87
SMMS01347,UYLOZ-FUY,UYLOZ,FUY,89.52,South Central Railway,Vijayawada,Signal Cable/Data Logger,Power Supply Fault,High,Signal Failure Alarm,IPS (Integrated Power Supply),RRI,Down,21-12-2025,08-09-2026,09-09-2026,11-09-2026,7.1,6.5,30,6.0,01-03-2026,15,1,1,Branch,5.53,False,True,67.8,This Month,Monthly,6.5,No_Overlap,Yes,50.3,7.1,48.8,0.71
SMMS01348,BDDFD-KTDCU,BDDFD,KTDCU,32.55,Eastern Railway,Malda,Point Machine,Switch Blade Misalignment,High,Signal Failure Alarm,AC (25kV Signalling),RRI,Normal,11-12-2025,07-09-2026,07-09-2026,09-09-2026,4.6,5.4,30,6.1,15-05-2026,15,1,23,Trunk,11.68,False,False,41.3,This Week,Weekly,5.4,No_Overlap,No,56.8,4.6,60.7,0.79
SMMS01349,ODWUP-IFOXI,ODWUP,IFOXI,0.43,Western Railway,Mumbai Central,Axle Counter,Reset Failure,Medium,Datalogger Analysis,AC (25kV Signalling),EI,Normal,26-07-2026,08-09-2026,09-09-2026,12-09-2026,7.9,7.1,17,17.2,25-01-2026,15,4,11,Trunk,18.02,False,False,28.3,This Month,Monthly,7.1,No_Overlap,No,48.6,7.9,46.6,0.99
SMMS01350,PBQWI-YH,PBQWI,YH,67.9,South Eastern Railway,Chakradharpur,Block Instrument,Block Instrument Failure,Medium,Datalogger Analysis,DC,SSI,Normal,27-08-2025,13-09-2026,14-09-2026,17-09-2026,4.7,3.8,60,11.5,02-05-2026,15,1,20,Trunk,14.54,False,False,36.4,This Month,Monthly,3.8,No_Overlap,No,51.8,4.7,47.1,0.75
SMMS01351,NMNFM-AB,NMNFM,AB,11.44,Eastern Railway,Howrah,Point Machine,Point Machine Failure,High,Signal Failure Alarm,DC,PI,Normal,30-08-2026,15-09-2026,15-09-2026,17-09-2026,8.3,9.4,0,14.1,17-04-2026,15,1,9,Trunk,16.98,False,False,31.7,This Month,Monthly,9.4,Same_Division_Overlap,No,46.2,8.3,51.2,0.91
SMMS01352,VWU-NAHFG,VWU,NAHFG,50.45,Western Railway,Rajkot,Level Crossing Interlocking,LC Gate Interlocking Fault,Medium,Signal Failure Alarm,IPS (Integrated Power Supply),RRI,Normal,05-05-2026,14-09-2026,14-09-2026,17-09-2026,1.7,2.2,60,10.3,26-04-2026,180,2,23,Trunk,11.37,False,False,41.2,This Month,Monthly,2.2,Cross_Division_Overlap,No,51.1,1.7,57.4,0.71
SMMS01353,EGL-DK,EGL,DK,84.96,Central Railway,Pune,Track Circuit,Low Voltage/Shunt Fault,Low,Datalogger Analysis,IPS (Integrated Power Supply),PI,Normal,05-01-2026,11-09-2026,12-09-2026,17-09-2026,5.6,4.4,90,24.1,07-11-2025,15,1,9,Branch,9.35,False,False,33.9,This Month,Monthly,4.4,No_Overlap,No,49.2,5.6,36.7,0.69
SMMS01354,HAMFI-KURZ,HAMFI,KURZ,117.97,South Eastern Railway,Ranchi,Track Circuit,Low Voltage/Shunt Fault,Medium,Signal Failure Alarm,IPS (Integrated Power Supply),PI,Normal,06-11-2025,10-09-2026,10-09-2026,13-09-2026,1.1,1.5,60,4.6,07-09-2025,30,0,9,Trunk,1.89,False,False,30.5,This Month,Monthly,1.5,Same_Division_Overlap,No,47.3,1.1,59.8,0.77
SMMS01355,CX-ZHFY,CX,ZHFY,57.64,Northern Railway,Ferozpur,Track Circuit,Track Circuit Failure,Medium,Preventive Test,IPS (Integrated Power Supply),EI,Normal,07-08-2025,10-09-2026,10-09-2026,13-09-2026,4.9,5.7,60,4.9,09-04-2026,15,0,9,Branch,19.88,False,False,40.5,This Month,Monthly,5.7,Same_Division_Overlap,No,44.4,4.9,38.7,0.7
SMMS01356,CH-EDIRX,CH,EDIRX,59.64,Western Railway,Ratlam,Point Machine,Point Machine Failure,Medium,Preventive Test,AC (25kV Signalling),SSI,Normal,15-12-2025,13-09-2026,13-09-2026,16-09-2026,7.5,7.7,60,15.2,21-02-2026,90,3,10,Branch,10.31,False,False,46.2,This Month,Monthly,7.7,No_Overlap,No,54.7,7.5,48.7,0.64
SMMS01357,JCSA-XACH,JCSA,XACH,21.55,Southern Railway,Salem,Level Crossing Interlocking,Signal Lamp Failure,Low,Signal Failure Alarm,IPS (Integrated Power Supply),PI,Normal,04-09-2025,15-09-2026,16-09-2026,21-09-2026,6.5,5.1,90,24.9,01-01-2026,30,0,13,Trunk,6.11,True,False,44.7,This Week,Weekly,5.1,Cross_Division_Overlap,No,62.1,6.5,67.3,0.77
SMMS01358,DXQEQ-UQ,DXQEQ,UQ,114.99,South Eastern Railway,Chakradharpur,Point Machine,Switch Blade Misalignment,Low,Preventive Test,AC (25kV Signalling),EI,Normal,15-10-2025,15-09-2026,15-09-2026,20-09-2026,5.0,7.1,90,9.2,15-07-2026,180,4,14,Trunk,11.0,False,True,58.5,This Month,Monthly,7.1,No_Overlap,Yes,52.0,5.0,51.9,0.67
SMMS01359,PK-VGS,PK,VGS,102.49,Southern Railway,Palakkad,Point Machine,Point Machine Failure,Medium,Visual Inspection,DC,PI,Normal,11-08-2026,11-09-2026,11-09-2026,14-09-2026,4.4,4.4,1,6.4,10-02-2026,15,2,23,Branch,19.52,False,False,37.3,Programmed,Monthly,4.4,Cross_Division_Overlap,No,28.6,4.4,30.0,0.88
SMMS01360,HVARF-UQIA,HVARF,UQIA,39.13,Eastern Railway,Malda,Block Instrument,Communication Loss,Medium,Visual Inspection,AC (25kV Signalling),EI,Degraded,28-09-2025,06-09-2026,06-09-2026,09-09-2026,5.5,7.1,60,24.7,26-02-2026,30,6,9,Trunk,5.44,True,False,57.0,This Week,Weekly,7.1,Same_Division_Overlap,Yes,62.7,5.5,61.2,0.82
SMMS01361,OHWK-XVD,OHWK,XVD,115.07,Eastern Railway,Howrah,Axle Counter,Axle Counter Malfunction,Medium,Visual Inspection,IPS (Integrated Power Supply),RRI,Normal,31-08-2026,13-09-2026,14-09-2026,17-09-2026,6.5,6.3,0,2.5,17-04-2026,90,0,12,Trunk,4.16,False,False,27.4,Programmed,Monthly,6.3,Same_Division_Overlap,No,31.4,6.5,38.6,0.7
SMMS01362,VTQ-EUSC,VTQ,EUSC,100.99,South Eastern Railway,Adra,Electronic Interlocking,Software/Data Fault,Critical,Signal Failure Alarm,AC (25kV Signalling),EI,Degraded,25-11-2025,07-09-2026,08-09-2026,09-09-2026,5.2,5.1,10,21.1,11-02-2026,15,1,1,Branch,14.84,True,False,72.9,Immediate,Weekly,5.1,Same_Division_Overlap,Yes,54.6,5.2,66.8,0.84
SMMS01363,UEDAV-CAFUI,UEDAV,CAFUI,10.53,Southern Railway,Palakkad,Track Circuit,Rail Bonding Fault,High,Preventive Test,IPS (Integrated Power Supply),PI,Normal,30-07-2025,03-09-2026,03-09-2026,05-09-2026,5.1,6.6,30,3.9,12-12-2025,30,1,21,Trunk,7.58,False,True,68.0,This Week,Weekly,6.6,No_Overlap,Yes,55.7,5.1,49.9,0.7
SMMS01364,LV-BVIDN,LV,BVIDN,32.0,Eastern Railway,Sealdah,Level Crossing Interlocking,Signal Lamp Failure,Medium,Datalogger Analysis,IPS (Integrated Power Supply),RRI,Down,20-12-2025,03-09-2026,04-09-2026,07-09-2026,8.3,6.7,60,18.7,30-05-2026,30,3,11,Branch,12.21,False,False,29.5,This Week,Weekly,6.7,No_Overlap,No,60.5,8.3,61.2,0.97
SMMS01365,GIXC-GSS,GIXC,GSS,113.22,South Eastern Railway,Adra,Electronic Interlocking,EI Card Failure,Low,Preventive Test,IPS (Integrated Power Supply),RRI,Normal,15-08-2026,13-09-2026,14-09-2026,19-09-2026,3.2,2.9,0,1.4,07-07-2026,30,2,24,Trunk,16.06,False,False,22.3,Programmed,Monthly,2.9,Same_Division_Overlap,No,25.1,3.2,31.8,0.89
SMMS01366,ADB-BWE,ADB,BWE,17.89,Eastern Railway,Howrah,Track Circuit,Low Voltage/Shunt Fault,High,Signal Failure Alarm,AC (25kV Signalling),EI,Degraded,27-07-2025,06-09-2026,07-09-2026,09-09-2026,9.6,8.0,30,1.6,30-08-2026,30,1,7,Trunk,15.23,True,False,74.2,This Month,Monthly,8.0,No_Overlap,Yes,51.3,9.6,45.6,0.83
SMMS01367,GT-SHE,GT,SHE,6.01,Central Railway,Pune,Point Machine,Point Machine Failure,Medium,Datalogger Analysis,IPS (Integrated Power Supply),RRI,Degraded,03-08-2025,14-09-2026,14-09-2026,17-09-2026,5.5,6.5,60,17.2,28-03-2026,30,0,15,Trunk,11.13,False,False,21.7,This Week,Weekly,6.5,Same_Division_Overlap,No,56.1,5.5,56.9,0.71
SMMS01368,HCLD-SKH,HCLD,SKH,47.36,Eastern Railway,Malda,Block Instrument,Token Fault,Critical,Signal Failure Alarm,AC (25kV Signalling),PI,Normal,31-07-2026,11-09-2026,11-09-2026,12-09-2026,6.9,8.0,10,13.0,10-03-2026,15,1,24,Trunk,7.83,False,False,42.6,Immediate,Weekly,8.0,No_Overlap,No,61.0,6.9,63.8,0.8
SMMS01369,SXO-MKSVB,SXO,MKSVB,66.66,South Central Railway,Nanded,Point Machine,Switch Blade Misalignment,Low,Visual Inspection,DC,PI,Down,08-04-2026,13-09-2026,13-09-2026,18-09-2026,4.5,4.7,90,9.7,26-04-2026,90,0,18,Trunk,4.35,False,False,32.2,This Month,Monthly,4.7,No_Overlap,No,54.7,4.5,58.4,0.53
SMMS01370,CKGD-RRPV,CKGD,RRPV,105.32,South Eastern Railway,Ranchi,Track Circuit,Low Voltage/Shunt Fault,High,Visual Inspection,AC (25kV Signalling),RRI,Degraded,06-09-2025,03-09-2026,03-09-2026,05-09-2026,7.7,7.9,30,7.0,03-06-2026,15,1,17,Branch,6.27,False,False,41.6,This Month,Monthly,7.9,No_Overlap,No,47.9,7.7,37.7,0.55
SMMS01371,TTI-NKBJ,TTI,NKBJ,65.7,South Central Railway,Secunderabad,Electronic Interlocking,Software/Data Fault,Medium,Datalogger Analysis,AC (25kV Signalling),EI,Normal,04-05-2026,16-09-2026,16-09-2026,19-09-2026,3.4,4.0,60,7.0,31-08-2025,30,0,18,Trunk,10.96,False,False,31.9,This Month,Monthly,4.0,Same_Division_Overlap,No,47.7,3.4,40.3,0.81
SMMS01372,VUL-DTZ,VUL,DTZ,79.85,Southern Railway,Salem,Relay Interlocking,Relay Contact Failure,Medium,Preventive Test,AC (25kV Signalling),RRI,Degraded,21-06-2026,09-09-2026,09-09-2026,12-09-2026,2.5,3.1,52,8.9,29-01-2026,90,3,24,Trunk,1.86,True,True,82.2,This Week,Weekly,3.1,Cross_Division_Overlap,Yes,56.9,2.5,53.3,0.66
SMMS01373,UVR-DJWLN,UVR,DJWLN,14.9,Northern Railway,Ferozpur,Block Instrument,Block Instrument Failure,High,Signal Failure Alarm,IPS (Integrated Power Supply),PI,Normal,15-10-2025,05-09-2026,05-09-2026,07-09-2026,5.4,7.1,30,2.9,23-08-2026,15,1,23,Trunk,7.78,True,False,65.8,This Month,Monthly,7.1,Same_Division_Overlap,Yes,51.5,5.4,55.0,0.75
SMMS01374,XLHU-RGRXB,XLHU,RGRXB,73.15,Southern Railway,Salem,Relay Interlocking,Relay Contact Failure,Medium,Preventive Test,DC,PI,Normal,27-06-2026,16-09-2026,16-09-2026,19-09-2026,4.3,4.7,46,19.8,08-10-2025,90,1,24,Trunk,3.35,False,True,41.2,This Week,Weekly,4.7,Same_Division_Overlap,No,57.7,4.3,70.1,0.5
SMMS01375,JLFW-MSS,JLFW,MSS,42.18,Southern Railway,Chennai,Relay Interlocking,Relay Contact Failure,Low,Visual Inspection,AC (25kV Signalling),RRI,Normal,04-07-2025,05-09-2026,05-09-2026,10-09-2026,3.7,4.1,90,1.6,12-07-2026,90,3,5,Trunk,10.48,False,False,27.2,This Month,Monthly,4.1,No_Overlap,No,46.3,3.7,42.2,0.66
SMMS01376,CBBL-AZX,CBBL,AZX,112.3,Eastern Railway,Howrah,Signal Cable/Data Logger,Cable Insulation Fault,Low,Preventive Test,DC,RRI,Normal,16-10-2025,11-09-2026,12-09-2026,17-09-2026,7.1,6.0,90,3.4,06-04-2026,15,1,14,Trunk,14.04,True,False,48.9,This Month,Monthly,6.0,No_Overlap,No,48.0,7.1,43.9,0.59
SMMS01377,XTP-ZIPD,XTP,ZIPD,96.44,Central Railway,Pune,Block Instrument,Token Fault,Low,Signal Failure Alarm,IPS (Integrated Power Supply),EI,Normal,08-07-2025,16-09-2026,16-09-2026,21-09-2026,3.3,3.3,90,18.6,23-08-2025,30,1,24,Branch,5.91,False,False,28.0,This Month,Monthly,3.3,No_Overlap,No,54.6,3.3,50.7,0.72
SMMS01378,JR-USRXJ,JR,USRXJ,118.38,Western Railway,Mumbai Central,Axle Counter,Axle Counter Malfunction,Low,Datalogger Analysis,DC,RRI,Normal,28-07-2026,14-09-2026,14-09-2026,19-09-2026,5.1,6.7,0,23.2,03-08-2026,30,1,18,Branch,16.94,False,False,30.5,Programmed,Monthly,6.7,No_Overlap,No,22.6,5.1,26.7,0.91
SMMS01379,FAHM-QEPKH,FAHM,QEPKH,26.17,Southern Railway,Salem,Block Instrument,Block Instrument Failure,High,Signal Failure Alarm,IPS (Integrated Power Supply),RRI,Normal,20-05-2026,08-09-2026,08-09-2026,10-09-2026,5.8,5.9,30,21.0,22-08-2026,30,3,9,Branch,4.54,False,True,81.1,This Month,Monthly,5.9,No_Overlap,Yes,50.8,5.8,55.6,0.78
SMMS01380,EYTE-MATCL,EYTE,MATCL,97.64,Eastern Railway,Howrah,Electronic Interlocking,Software/Data Fault,Low,Signal Failure Alarm,AC (25kV Signalling),PI,Normal,02-07-2025,07-09-2026,07-09-2026,12-09-2026,4.6,6.0,90,12.0,01-02-2026,30,4,23,Branch,2.1,True,True,79.9,This Month,Monthly,6.0,No_Overlap,Yes,51.1,4.6,59.2,0.89
SMMS01381,VNS-WENI,VNS,WENI,63.68,South Central Railway,Guntur,Level Crossing Interlocking,LC Gate Interlocking Fault,Medium,Signal Failure Alarm,AC (25kV Signalling),PI,Normal,05-05-2026,14-09-2026,15-09-2026,18-09-2026,7.5,7.4,60,7.2,01-06-2026,15,3,4,Branch,5.36,False,True,68.4,This Month,Monthly,7.4,No_Overlap,Yes,48.6,7.5,42.1,0.8
SMMS01382,VTQ-EUSC,VTQ,EUSC,51.07,South Eastern Railway,Adra,Block Instrument,Communication Loss,Medium,Datalogger Analysis,AC (25kV Signalling),RRI,Down,15-07-2025,15-09-2026,15-09-2026,18-09-2026,3.5,4.8,60,8.1,18-08-2025,90,0,4,Branch,13.12,False,False,40.1,This Month,Monthly,4.8,Same_Division_Overlap,No,46.3,3.5,44.2,0.61
SMMS01383,VJ-TC,VJ,TC,7.39,Northern Railway,Moradabad,Electronic Interlocking,Software/Data Fault,High,Datalogger Analysis,AC (25kV Signalling),RRI,Normal,11-07-2026,11-09-2026,12-09-2026,14-09-2026,11.1,10.4,30,23.6,04-05-2026,30,2,19,Trunk,3.56,False,False,40.9,This Week,Weekly,10.4,No_Overlap,No,57.7,11.1,56.5,0.85
SMMS01384,FGRZE-VZBOW,FGRZE,VZBOW,46.98,Eastern Railway,Malda,Electronic Interlocking,Software/Data Fault,Low,Signal Failure Alarm,DC,PI,Normal,08-06-2026,14-09-2026,14-09-2026,19-09-2026,2.7,3.0,41,19.4,22-03-2026,15,3,6,Trunk,7.88,False,False,38.5,This Month,Monthly,3.0,Same_Division_Overlap,No,41.5,2.7,41.1,0.9
SMMS01385,XBR-OBVHZ,XBR,OBVHZ,52.79,Northern Railway,Ambala,Axle Counter,Wheel Sensor Fault,High,Preventive Test,DC,PI,Normal,18-07-2025,15-09-2026,15-09-2026,17-09-2026,6.0,6.5,30,24.3,26-02-2026,30,1,11,Trunk,4.95,False,False,51.3,This Week,Weekly,6.5,No_Overlap,No,61.5,6.0,57.9,0.68
SMMS01386,GLR-BR,GLR,BR,84.38,Central Railway,Mumbai CST,Electronic Interlocking,Object Controller Fault,Critical,Datalogger Analysis,IPS (Integrated Power Supply),EI,Normal,27-09-2025,04-09-2026,05-09-2026,06-09-2026,6.2,5.7,10,18.3,12-09-2025,180,0,6,Trunk,14.64,False,False,39.7,Immediate,Weekly,5.7,No_Overlap,No,61.1,6.2,63.2,0.7
SMMS01387,RP-QCP,RP,QCP,36.57,South Eastern Railway,Ranchi,Level Crossing Interlocking,LC Gate Interlocking Fault,Low,Preventive Test,IPS (Integrated Power Supply),SSI,Degraded,10-04-2026,10-09-2026,10-09-2026,15-09-2026,4.1,4.2,90,18.0,10-01-2026,90,2,18,Trunk,19.59,False,False,26.9,This Week,Weekly,4.2,No_Overlap,No,56.4,4.1,52.9,0.54
SMMS01388,DBUF-JL,DBUF,JL,24.31,South Eastern Railway,Adra,Track Circuit,Track Circuit Failure,Medium,Datalogger Analysis,AC (25kV Signalling),EI,Normal,21-10-2025,14-09-2026,14-09-2026,17-09-2026,0.8,1.0,60,9.2,26-11-2025,30,1,1,Branch,7.98,False,False,38.4,This Month,Monthly,1.0,No_Overlap,No,47.5,0.8,53.4,0.8
